id;fase;tema;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
14;1;Árvores;Qual parte da flor contém os óvulos que darão origem às sementes?;Estigma;Pétala;Ovário;Antera;2;O ovário da flor abriga os óvulos, que formam as sementes após a fecundação.
15;1;Árvores;Qual é a maior floresta tropical do mundo?;Congo;Amazônia;Bornéu;Sumatra;1;A Floresta Amazônica é a maior floresta tropical, com enorme biodiversidade.
16;1;Árvores;O que as plantas liberam durante a fotossíntese?;Dióxido de carbono;Oxigênio;Metano;Nitrogênio;1;Durante a fotossíntese, as plantas liberam oxigênio, essencial para a vida na Terra.
17;1;Árvores;Qual planta é base da produção de açúcar no Brasil?;Mandioca;Cana-de-açúcar;Milho;Soja;1;A cana-de-açúcar é usada para produzir açúcar e etanol.
18;1;Árvores;As samambaias se reproduzem por meio de quê?;Sementes;Esporos;Frutos;Flores;1;Samambaias não produzem flores ou sementes, mas se reproduzem por esporos.
19;1;Árvores;Qual árvore é símbolo do Japão?;Pinheiro;Oliveira;Cerejeira;Carvalho;2;A cerejeira, conhecida como sakura, é símbolo nacional japonês.
20;1;Árvores;Qual parte da planta geralmente armazena reservas de nutrientes, como na cenoura?;Folha;Flor;Raiz;Tronco;2;A cenoura armazena nutrientes em sua raiz, servindo como reserva para a planta.
21;2;Água;A maior parte da água doce do planeta está disponível para uso humano?;Sim, mais da metade;Não, apenas uma pequena parte;Sim, cerca de 50%;Sim, cerca de 30%;1;Apenas cerca de 3% da água do planeta é doce, e nem toda está disponível para consumo.
22;2;Água;Qual processo transforma água líquida em vapor?;Congelamento;Condensação;Evaporação;Precipitação;2;A evaporação ocorre quando a água aquece e passa do estado líquido para gasoso.
23;2;Água;Qual é um dos maiores reservatórios subterrâneos de água doce do mundo?;Aquífero Alter do Chão;Aquífero Guarani;Aquífero Pantanal;Aquífero Amazonas;1;O Aquífero Guarani é um dos maiores aquíferos de água doce do planeta.
24;2;Água;Por que o gelo flutua na água?;Porque é mais pesado;Porque é menos denso;Porque não contém sais;Porque contém ar;1;O gelo é menos denso que a água líquida, permitindo que flutue e proteja ecossistemas aquáticos.
25;2;Água;Qual oceano ocupa a maior área do planeta?;Atlântico;Pacífico;Índico;Ártico;1;O Oceano Pacífico cobre cerca de 1/3 da superfície terrestre, sendo o maior oceano.
26;2;Água;Qual camada da Terra contém a maior parte da água subterrânea?;Crosta;Manto;Núcleo;Atmosfera;0;A crosta terrestre abriga aquíferos e reservas de água subterrânea.
27;2;Água;O ciclo da água é movido principalmente por qual fonte de energia?;Energia solar;Energia eólica;Energia geotérmica;Energia nuclear;0;O sol aquece a água, promovendo evaporação e movimentando o ciclo da água.
28;2;Água;Qual porcentagem aproximada da superfície da Terra é coberta por água?;50%;60%;70%;80%;2;Cerca de 70% da superfície terrestre é coberta por água.
29;2;Água;Qual processo do ciclo da água forma nuvens?;Condensação;Evaporação;Precipitação;Transpiração;0;As nuvens se formam quando o vapor de água se condensa em gotículas.
30;2;Água;Qual mar é conhecido por sua alta salinidade e por permitir que pessoas flutuem facilmente?;Mar Cáspio;Mar Mediterrâneo;Mar Vermelho;Mar Morto;3;O Mar Morto tem alta concentração de sal, permitindo flutuar sem esforço.
31;2;Água;Qual é o maior rio do mundo em volume de água?;Nilo;Amazonas;Mississipi;Yangtzé;1;O rio Amazonas é o maior do mundo em volume de água.
32;2;Água;Qual oceano banha a costa leste do Brasil?;Pacífico;Atlântico;Índico;Ártico;1;O Oceano Atlântico banha toda a costa leste brasileira.
33;2;Água;Qual camada da atmosfera é responsável pelas chuvas?;Estratosfera;Troposfera;Mesosfera;Ionosfera;1;A troposfera concentra os fenômenos climáticos, incluindo a chuva.
34;2;Água;Qual fenômeno climático está relacionado ao aquecimento anormal das águas do Pacífico?;El Niño;La Niña;Monções;Tsunami;0;O El Niño altera o clima global com o aquecimento das águas do Pacífico.
35;2;Água;Qual país possui a maior quantidade de lagos no mundo?;Canadá;Rússia;Brasil;China;0;O Canadá tem a maior quantidade de lagos, com milhões espalhados pelo território.
36;2;Água;Qual é o nome dado à água que se infiltra no solo e alimenta aquíferos?;Água pluvial;Água subterrânea;Água salgada;Água mineral;1;A água infiltrada no solo forma as reservas subterrâneas conhecidas como aquíferos.
37;2;Água;O que é dessalinização?;Transformar água salgada em doce;Transformar água doce em salgada;Evaporação natural;Armazenamento de água;0;A dessalinização remove o sal da água do mar, tornando-a potável.
38;2;Água;Qual oceano é o mais frio do planeta?;Atlântico;Índico;Pacífico;Ártico;3;O Oceano Ártico é o mais frio e coberto por gelo em grande parte do ano.
39;2;Água;Qual região do planeta concentra a maior parte da água doce congelada?;Groenlândia;Pólo Norte;Pólo Sul;Alpes Suíços;2;A Antártida concentra cerca de 70% da água doce congelada do mundo.
40;2;Água;Qual processo devolve a água da superfície para o subsolo?;Precipitação;Infiltração;Condensação;Sublimação;1;A infiltração permite que a água da chuva penetre no solo e alimente aquíferos.
