id,fase,pergunta,alternativa_0,alternativa_1,alternativa_2,alternativa_3,resposta_correta,dica,explicacao
11,3,Qual é o habitat natural dos peixes?,Árvores,Água,Ar,Terra,1,"É onde eles nadam e respiram com suas brânquias!","O habitat natural dos peixes é a água, sejam rios, lagos ou oceanos. Eles possuem brânquias para extrair o oxigênio dissolvido na água e sobreviver nesse ambiente."
12,3,O que acontece com os animais quando destruímos suas casas (habitat)?,Ficam mais felizes,Ficam sem lugar para viver,Ficam mais fortes,Nada acontece,1,"Imagine se alguém destruísse sua casa... como você se sentiria?","A destruição do habitat, como o desmatamento, deixa os animais sem moradia e sem acesso a alimentos, o que pode levar à diminuição da população de espécies e até à extinção."
13,3,Qual animal está em risco de extinção?,Cachorro,Gato,Panda,Galinha,2,"É um ursinho preto e branco que come bambu e é muito fofo!","O panda gigante é um animal em risco de extinção, principalmente devido à perda de seu habitat natural e à baixa taxa de reprodução. Esforços de conservação têm sido feitos para proteger a espécie."
14,3,O que significa reciclar?,Jogar lixo fora,Transformar lixo em coisas novas,Queimar o lixo,Esconder o lixo,1,"É como fazer mágica: transformar algo velho em algo útil novamente!","Reciclar é o processo de transformar materiais descartados em novos produtos. Isso reduz a quantidade de lixo em aterros sanitários e conserva os recursos naturais."
15,3,Qual é o maior mamífero do mundo?,Elefante,Girafa,Baleia,Hipopótamo,2,"Vive no mar e é gigantesca! Pode ser maior que um ônibus!","A baleia-azul é o maior mamífero e o maior animal do planeta. Pode chegar a mais de 30 metros de comprimento e pesar cerca de 180 toneladas."
16,4,O que causa o aquecimento global?,Muitas árvores,Poluição do ar,Muitos animais,Muita água,1,"São gases ruins que fazem a Terra ficar com 'febre'!","O aquecimento global é causado principalmente pela poluição do ar com a emissão de gases poluentes na atmosfera, como o gás carbônico. Esses gases criam uma camada que retém o calor do Sol, aumentando a temperatura do planeta."
17,4,Qual é a importância das abelhas para o meio ambiente?,Fazem mel apenas,Ajudam as plantas a se reproduzir,São bonitas,Fazem barulho,1,"Elas voam de flor em flor levando um pozinho especial!","As abelhas são polinizadoras, ou seja, transportam o pólen de uma flor para outra, ajudando as plantas a se reproduzirem. A polinização é vital para a produção de alimentos e a manutenção dos ecossistemas."
18,4,O que devemos plantar para ajudar o meio ambiente?,Lixo,Árvores,Plástico,Vidro,1,"São grandes, têm folhas verdes e nos dão oxigênio!","Plantar árvores é uma das melhores formas de ajudar o meio ambiente. Elas ajudam a combater a poluição do ar, a regular a temperatura e a preservar o solo."
19,4,Qual é o dia mundial do meio ambiente?,5 de junho,25 de dezembro,1 de janeiro,15 de agosto,0,"É no meio do ano, quando começa o inverno no Brasil!","O Dia Mundial do Meio Ambiente é celebrado em 5 de junho. A data foi criada para conscientizar as pessoas sobre a importância de proteger os recursos naturais e o planeta."
20,4,O que acontece quando jogamos lixo nos rios?,A água fica mais limpa,A água fica poluída,Os peixes ficam felizes,Nada acontece,1,"Os peixinhos ficam tristes e podem ficar doentes!","Jogar lixo em rios, lagos e oceanos causa a poluição da água, prejudicando a vida aquática e tornando a água imprópria para o consumo humano e outros usos."
21,5,Qual é a camada que protege a Terra dos raios solares?,Camada de gelo,Camada de ozônio,Camada de água,Camada de terra,1,"É como um 'protetor solar' gigante ao redor do nosso planeta!","A camada de ozônio é uma parte da atmosfera que protege a Terra da radiação ultravioleta do Sol. A poluição causada por alguns produtos químicos pode danificar essa camada, causando problemas de saúde e ambientais."
22,5,O que é um animal herbívoro?,Come apenas carne,Come apenas plantas,Come de tudo,Não come nada,1,"São animais que adoram salada, frutas e verduras!","Animais herbívoros se alimentam exclusivamente de plantas, como grama, folhas, frutas e sementes. Exemplos incluem coelhos, vacas e girafas."
23,5,Qual é a maior floresta tropical do mundo?,Floresta da Tijuca,Amazônia,Mata Atlântica,Cerrado,1,"Fica no Brasil e é chamada de 'pulmão do mundo'!","A Floresta Amazônica é a maior floresta tropical do mundo, cobrindo uma vasta área na América do Sul. Ela é essencial para a regulação do clima global e abriga uma imensa biodiversidade."
24,5,O que devemos fazer com pilhas usadas?,Jogar no lixo comum,Levar para coleta especial,Enterrar no jardim,Jogar na água,1,"Elas têm substâncias perigosas e precisam de um lugar especial!","Pilhas e baterias contêm metais pesados e substâncias tóxicas que, se descartadas no lixo comum, podem contaminar o solo e a água. Elas devem ser levadas para coleta especial para descarte correto."
25,5,Quantos por cento da Terra é coberta por água?,30%,50%,70%,90%,2,"É mais da metade! Por isso nosso planeta é azul visto do espaço!","Aproximadamente 70% da superfície da Terra é coberta por água, sendo a maior parte dela água salgada dos oceanos. A água doce, essencial para a vida, representa apenas uma pequena porção."
26,6,O que é biodiversidade?,Apenas plantas,Apenas animais,Variedade de vida na Terra,Apenas pessoas,2,"É como uma grande festa com todos os seres vivos juntos!","Biodiversidade é a variedade de vida na Terra, incluindo a diversidade de plantas, animais, fungos, microrganismos e os ecossistemas em que vivem. É fundamental para a saúde do planeta."
27,6,Qual gás as plantas absorvem do ar?,Oxigênio,Gás carbônico,Hidrogênio,Nitrogênio,1,"É o gás que nós soltamos quando respiramos, e as plantas gostam dele!","Durante a fotossíntese, as plantas absorvem o gás carbônico da atmosfera para produzir seu próprio alimento e liberar oxigênio. Esse processo é vital para o equilíbrio do planeta."
28,6,O que acontece quando cortamos muitas árvores?,Mais oxigênio no ar,Menos oxigênio no ar,Nada muda,Mais animais aparecem,1,"Menos árvores = menos 'fábricas' de ar limpo!","O desmatamento, ou o corte de árvores em grande escala, resulta na diminuição da produção de oxigênio e no aumento do gás carbônico na atmosfera, contribuindo para o aquecimento global."
29,6,Qual é o principal alimento dos pandas?,Bambu,Peixe,Carne,Frutas,0,"É uma planta verde que cresce como um canudo gigante!","O bambu é a principal fonte de alimento dos pandas. Eles precisam comer grandes quantidades de bambu diariamente para obter a energia necessária para viver."
30,6,O que é compostagem?,Queimar lixo,Transformar restos de comida em adubo,Jogar lixo no rio,Enterrar lixo,1,"É transformar cascas de frutas em 'vitaminas' para as plantas!","A compostagem é o processo de transformar restos de comida, como cascas de frutas e vegetais, em adubo rico em nutrientes para o solo. É uma forma de reciclar o lixo orgânico e enriquecer a terra para o cultivo."
31,7,Qual animal é conhecido por mudar de cor?,Elefante,Camaleão,Girafa,Zebra,1,"É um lagarto que se disfarça igual um ninja!","O camaleão é famoso por sua capacidade de mudar a cor de sua pele para se camuflar no ambiente, seja para se esconder de predadores ou para se aproximar de suas presas."
32,7,O que devemos fazer para proteger os oceanos?,Jogar lixo no mar,Não jogar lixo no mar,Pescar todos os peixes,Sujar a praia,1,"O mar é a casa dos peixinhos, devemos mantê-la limpa!","Não jogar lixo no mar é fundamental para proteger a vida marinha. Plásticos e outros resíduos podem ser engolidos pelos animais e causar ferimentos graves ou a morte."
33,7,Qual é a principal causa da poluição do ar nas cidades?,Árvores,Fábricas e carros,Pássaros,Chuva,1,"São coisas feitas pelo homem que soltam fumaça!","A poluição do ar nas cidades é causada principalmente pelas emissões de gases poluentes de fábricas e escapamentos de carros. Essa poluição afeta a saúde das pessoas e o meio ambiente."
34,7,O que acontece com o gelo nos polos devido ao aquecimento global?,Aumenta,Derrete,Fica mais duro,Muda de cor,1,"Igual um sorvete no sol quente!","O aumento da temperatura global faz com que o gelo nos polos derreta. Isso contribui para o aumento do nível do mar e afeta o clima em todo o mundo."
35,7,Qual é o animal símbolo da Amazônia?,Leão,Pinguim,Onça-pintada,Urso polar,2,"É um felino grande com manchas como pintinhas!","A onça-pintada é o maior felino das Américas e um símbolo da biodiversidade da Amazônia. É um predador de topo de cadeia alimentar e sua presença indica um ecossistema saudável."
36,8,O que podemos fazer para economizar água no banho?,Tomar banho mais demorado,Tomar banho mais rápido,Deixar o chuveiro ligado,Usar mais sabonete,1,"Quanto menos tempo, menos água gastamos!","Tomar banho rápido é uma das melhores formas de economizar água em casa. Reduzir o tempo no chuveiro em apenas alguns minutos faz uma grande diferença na quantidade de água gasta."
37,8,Qual é a importância das minhocas para o solo?,Deixam a terra mais dura,Deixam a terra mais fofa e fértil,Comem as plantas,Fazem barulho,1,"Elas são como pequenas 'aradoras' que preparam a terra para plantar!","As minhocas são importantes para o solo porque, ao se moverem, criam túneis que o deixam mais aerado (fofo) e fértil. Suas fezes também enriquecem o solo com nutrientes, o que é ótimo para as plantas."
38,8,O que significa sustentabilidade?,Usar tudo rapidamente,Usar sem pensar no futuro,Usar de forma consciente para preservar,Não usar nada,2,"É cuidar hoje para que as crianças do futuro também tenham um planeta bonito!","Sustentabilidade significa usar os recursos naturais de forma consciente e responsável, garantindo que as futuras gerações também possam usufruir deles. É um modo de vida que equilibra o desenvolvimento econômico e a proteção do meio ambiente."
39,8,Qual é o resultado da fotossíntese das plantas?,Produzem lixo,Produzem oxigênio,Produzem poluição,Produzem barulho,1,"As plantas são como 'fábricas' que fazem o ar que respiramos!","A fotossíntese é o processo pelo qual as plantas usam a luz do sol para transformar gás carbônico em oxigênio e glicose. O oxigênio liberado é essencial para a nossa respiração."
40,8,O que acontece quando uma espécie de animal desaparece completamente?,Extinção,Migração,Hibernação,Evolução,0,"É quando um animal desaparece para sempre, como os dinossauros!","Extinção é o processo de desaparecimento total de uma espécie de animal ou planta. A extinção pode ser causada por mudanças climáticas, destruição do habitat ou caça excessiva, e leva a uma perda de biodiversidade."
