id;fase;tema;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
25;2;Computador;O que faz a placa-mãe?;Conecta e coordena componentes do computador;Renderiza gráficos;Resfria a CPU;Criptografa dados;0;A placa-mãe conecta CPU, memória, GPU e outros componentes.
26;2;Computador;Qual dispositivo é usado para entrada de dados?;Teclado;Monitor;Impressora;Caixa de som;0;O teclado permite digitar e enviar informações ao computador.
27;2;Computador;Qual memória mantém dados mesmo sem energia?;ROM;RAM;Cache;Registrador;0;A memória ROM mantém dados gravados permanentemente.
28;2;Computador;Qual é a função principal, presente em praticamente todos os antivírus modernos?;Monitorar o sistema em tempo real;Bloquear sites suspeitos;Detectar tentativas de phishing;Verificar anexos de e-mail;0;Embora antivírus atuais possam incluir bloqueio de sites e filtros de phishing, a função essencial e comum a todos é o monitoramento em tempo real para prevenir infecções.
29;2;Computador;O que significa BIOS?;Basic Input Output System;Binary Input Output System;Basic Internal Operating System;Basic Internet Output System;0;BIOS é um firmware essencial que inicia o computador.
30;2;Computador;Qual é a função de um cooler?;Resfriar componentes;Aumentar armazenamento;Processar gráficos;Executar instruções;0;O cooler mantém a temperatura do processador em níveis adequados.
31;2;Computador;Qual característica distingue principalmente um software de planilhas em relação a um editor de texto?;Permite cálculos automáticos e fórmulas;Aceita apenas textos sem imagens;Não pode salvar arquivos;Funciona apenas conectado à internet;0;Os softwares de planilhas permitem organizar dados em tabelas e aplicar fórmulas, o que os diferencia dos editores de texto.
32;2;Computador;O que é software open source?;Código aberto que pode ser estudado e modificado;Software sempre gratuito;Software exclusivo para servidores;Software sem atualizações;0;Open source permite auditoria, colaboração e melhorias no código.
33;2;Computador;Qual componente armazena dados permanentemente?;HD/SSD;Memória RAM;Memória Cache;GPU;0;Discos rígidos e SSDs mantêm informações mesmo sem energia.
34;2;Computador;O que significa GUI?;Graphical User Interface;General User Input;Global User Interaction;Graphics Unified Interface;0;GUI é a interface gráfica que facilita o uso de programas.
35;2;Computador;Qual componente processa cálculos e instruções?;CPU;GPU;RAM;SSD;0;A CPU executa cálculos e coordena processos do computador.
36;2;Computador;O que faz a memória cache?;Armazena dados temporários para agilizar a CPU;Guarda arquivos grandes;Processa gráficos;Resfria componentes;0;A cache agiliza o acesso da CPU a dados frequentemente usados.
37;2;Computador;Qual dispositivo conecta o computador a redes?;Placa de rede;Placa de vídeo;Cooler;Fonte;0;A placa de rede permite comunicação com a internet e outros dispositivos.
38;2;Computador;Qual componente processa imagens e vídeos?;GPU;CPU;RAM;SSD;0;A GPU é especializada em gráficos e vídeos.
39;2;Computador;Qual é a função principal do sistema operacional?;Gerenciar hardware e recursos;Criar gráficos;Armazenar dados;Conectar dispositivos;0;O sistema operacional coordena hardware, software e recursos do computador.
40;2;Computador;Qual é a vantagem de software open source?;Permite colaboração e auditoria;Sempre gratuito;Nunca falha;Funciona apenas em Linux;0;Código aberto permite que qualquer pessoa estude, modifique e compartilhe melhorias.
